signal_key,signal_label,run_id,start_date,end_date,run_length_trading_days,phase,raw_h1_mean_bp,directional_h1_mean_bp
minus_entry,零段向下（0→-1）,122,2025-08-05,2025-08-05,1,Test,34.91741308610629,-34.91741308610629
minus_entry,零段向下（0→-1）,123,2025-08-13,2025-08-13,1,Test,134.55151857785674,-134.55151857785674
minus_entry,零段向下（0→-1）,124,2025-09-08,2025-09-08,1,Test,46.95869541144759,-46.95869541144759
minus_entry,零段向下（0→-1）,125,2025-09-19,2025-09-19,1,Test,-24.725956894142698,24.725956894142698
minus_entry,零段向下（0→-1）,126,2025-10-16,2025-10-16,1,Test,-58.92939262156172,58.92939262156172
minus_entry,零段向下（0→-1）,127,2025-11-17,2025-11-17,1,Test,-46.75371299366682,46.75371299366682
minus_entry,零段向下（0→-1）,128,2025-12-11,2025-12-11,1,Test,-115.89093658824324,115.89093658824324
minus_entry,零段向下（0→-1）,129,2026-02-04,2026-02-04,1,Test,-81.94969750359161,81.94969750359161
minus_entry,零段向下（0→-1）,130,2026-03-03,2026-03-03,1,Test,-558.4042880294437,558.4042880294437
minus_entry,零段向下（0→-1）,131,2026-04-17,2026-04-17,1,Test,83.61139259482454,-83.61139259482454
minus_entry,零段向下（0→-1）,132,2026-05-19,2026-05-19,1,Test,67.14976991911037,-67.14976991911037
minus_entry,零段向下（0→-1）,133,2026-06-01,2026-06-01,1,Test,-80.94013095624408,80.94013095624408
minus_entry,零段向下（0→-1）,134,2026-07-13,2026-07-13,1,Test,-325.9521058946391,325.9521058946391
minus_entry,零段向下（0→-1）,135,2026-08-11,2026-08-11,1,Test,-1.5475088216021504,1.5475088216021504
plus_entry,零段向上（0→+1）,0,2018-02-23,2018-02-23,1,Development,82.86365116762396,82.86365116762396
plus_entry,零段向上（0→+1）,1,2018-05-14,2018-05-14,1,Development,-17.232177426889095,-17.232177426889095
plus_entry,零段向上（0→+1）,2,2018-06-06,2018-06-06,1,Development,27.285529847049794,27.285529847049794
plus_entry,零段向上（0→+1）,3,2018-07-02,2018-07-02,1,Development,-150.10102258579795,-150.10102258579795
plus_entry,零段向上（0→+1）,4,2018-07-18,2018-07-18,1,Development,-87.54368889404618,-87.54368889404618
plus_entry,零段向上（0→+1）,5,2018-08-08,2018-08-08,1,Development,-159.13481502806692,-159.13481502806692
plus_entry,零段向上（0→+1）,6,2018-09-05,2018-09-05,1,Development,-156.1970838451354,-156.1970838451354
plus_entry,零段向上（0→+1）,7,2018-10-25,2018-10-25,1,Development,331.51952868074153,331.51952868074153
plus_entry,零段向上（0→+1）,8,2018-11-28,2018-11-28,1,Development,166.2029359573247,166.2029359573247
plus_entry,零段向上（0→+1）,9,2019-01-07,2019-01-07,1,Development,102.11392369734229,102.11392369734229
plus_entry,零段向上（0→+1）,10,2019-02-12,2019-02-12,1,Development,100.68381702460272,100.68381702460272
plus_entry,零段向上（0→+1）,11,2019-04-01,2019-04-01,1,Development,363.25977390884833,363.25977390884833
plus_entry,零段向上（0→+1）,12,2019-05-14,2019-05-14,1,Development,121.82639355500902,121.82639355500902
plus_entry,零段向上（0→+1）,13,2019-06-06,2019-06-06,1,Development,-173.19476629866438,-173.19476629866438
plus_entry,零段向上（0→+1）,14,2019-06-20,2019-06-20,1,Development,248.03486715840427,248.03486715840427
plus_entry,零段向上（0→+1）,15,2020-01-22,2020-01-22,1,Development,34.90194702964189,34.90194702964189
plus_entry,零段向上（0→+1）,16,2020-02-18,2020-02-18,1,Development,82.63020908887864,82.63020908887864
plus_entry,零段向上（0→+1）,17,2020-03-03,2020-03-03,1,Development,-149.89547823462846,-149.89547823462846
plus_entry,零段向上（0→+1）,18,2020-03-26,2020-03-26,1,Development,81.81774082588689,81.81774082588689
plus_entry,零段向上（0→+1）,19,2020-06-29,2020-06-29,1,Development,27.0262570940627,27.0262570940627
plus_entry,零段向上（0→+1）,20,2020-07-28,2020-07-28,1,Development,-7.365796142951853,-7.365796142951853
plus_entry,零段向上（0→+1）,21,2020-08-18,2020-08-18,1,Development,51.851279577546094,51.851279577546094
plus_entry,零段向上（0→+1）,22,2020-09-03,2020-09-03,1,Development,-251.993409126845,-251.993409126845
plus_entry,零段向上（0→+1）,23,2020-09-21,2020-09-21,1,Development,-154.33830704170592,-154.33830704170592
plus_entry,零段向上（0→+1）,24,2020-10-16,2020-10-16,1,Development,15.222083908474904,15.222083908474904
plus_entry,零段向上（0→+1）,25,2021-01-06,2021-01-06,1,Development,-39.78087038994494,-39.78087038994494
plus_entry,零段向上（0→+1）,26,2021-01-19,2021-01-19,1,Development,-50.3959885590588,-50.3959885590588
plus_entry,零段向上（0→+1）,27,2021-02-22,2021-02-22,1,Development,-175.15250006335913,-175.15250006335913
plus_entry,零段向上（0→+1）,28,2021-03-16,2021-03-16,1,Development,7.811279942895322,7.811279942895322
plus_entry,零段向上（0→+1）,29,2021-04-02,2021-04-02,1,Development,46.4417627827296,46.4417627827296
plus_entry,零段向上（0→+1）,30,2021-05-11,2021-05-11,1,Development,-2.140828978575149,-2.140828978575149
plus_entry,零段向上（0→+1）,31,2021-06-11,2021-06-11,1,Development,-58.38365657991229,-58.38365657991229
plus_entry,零段向上（0→+1）,32,2021-07-08,2021-07-08,1,Development,-78.57877423258385,-78.57877423258385
plus_entry,零段向上（0→+1）,33,2021-08-02,2021-08-02,1,Development,129.58224152178843,129.58224152178843
plus_entry,零段向上（0→+1）,34,2021-11-04,2021-11-04,1,Development,55.655143119897055,55.655143119897055
plus_entry,零段向上（0→+1）,35,2021-11-19,2021-11-19,1,Development,133.26812373717135,133.26812373717135
plus_entry,零段向上（0→+1）,36,2021-12-10,2021-12-10,1,Development,66.06735530948482,66.06735530948482
plus_entry,零段向上（0→+1）,37,2021-12-29,2021-12-29,1,Development,-40.74165723982004,-40.74165723982004
plus_entry,零段向上（0→+1）,38,2022-03-18,2022-03-18,1,Development,145.7448592489996,145.7448592489996
plus_entry,零段向上（0→+1）,39,2022-04-11,2022-04-11,1,Development,-294.0155361575114,-294.0155361575114
plus_entry,零段向上（0→+1）,40,2022-04-29,2022-04-29,1,Development,281.3412761577183,281.3412761577183
plus_entry,零段向上（0→+1）,41,2022-05-23,2022-05-23,1,Development,35.357847519623675,35.357847519623675
plus_entry,零段向上（0→+1）,42,2022-06-24,2022-06-24,1,Development,145.12935105740254,145.12935105740254
plus_entry,零段向上（0→+1）,43,2022-07-26,2022-07-26,1,Development,100.01187971141468,100.01187971141468
plus_entry,零段向上（0→+1）,44,2022-08-12,2022-08-12,1,Development,-30.183606811911012,-30.183606811911012
plus_entry,零段向上（0→+1）,45,2022-08-26,2022-08-26,1,Development,-185.87258190902344,-185.87258190902344
plus_entry,零段向上（0→+1）,46,2022-09-14,2022-09-14,1,Development,105.4468688445942,105.4468688445942
plus_entry,零段向上（0→+1）,47,2022-09-30,2022-09-30,1,Development,-59.674518304262406,-59.674518304262406
plus_entry,零段向上（0→+1）,48,2022-11-24,2022-11-24,1,Development,-51.36994294811181,-51.36994294811181
plus_entry,零段向上（0→+1）,49,2022-12-12,2022-12-12,1,Development,-44.49864712509854,-44.49864712509854
plus_entry,零段向上（0→+1）,50,2022-12-28,2022-12-28,1,Development,-43.46655250275666,-43.46655250275666
plus_entry,零段向上（0→+1）,51,2023-05-05,2023-05-05,1,Validation,-84.76375578104212,-84.76375578104212
plus_entry,零段向上（0→+1）,52,2023-06-14,2023-06-14,1,Validation,5.012538374871145,5.012538374871145
plus_entry,零段向上（0→+1）,53,2023-09-05,2023-09-05,1,Validation,-82.67693352953299,-82.67693352953299
plus_entry,零段向上（0→+1）,54,2023-09-28,2023-09-28,1,Validation,-14.065409295955789,-14.065409295955789
plus_entry,零段向上（0→+1）,55,2023-10-27,2023-10-27,1,Validation,180.70325805952027,180.70325805952027
plus_entry,零段向上（0→+1）,56,2023-12-11,2023-12-11,1,Validation,158.54882537824633,158.54882537824633
plus_entry,零段向上（0→+1）,57,2024-01-04,2024-01-04,1,Validation,-89.09884646612132,-89.09884646612132
plus_entry,零段向上（0→+1）,58,2024-01-25,2024-01-25,1,Validation,250.7498893924942,250.7498893924942
plus_entry,零段向上（0→+1）,59,2024-02-08,2024-02-08,1,Validation,181.87505709494013,181.87505709494013
plus_entry,零段向上（0→+1）,60,2024-03-13,2024-03-13,1,Validation,-27.428508540363605,-27.428508540363605
plus_entry,零段向上（0→+1）,61,2024-03-29,2024-03-29,1,Validation,171.01657671322545,171.01657671322545
plus_entry,零段向上（0→+1）,62,2024-04-19,2024-04-19,1,Validation,-61.91277446383259,-61.91277446383259
plus_entry,零段向上（0→+1）,63,2024-05-17,2024-05-17,1,Validation,144.19235760887216,144.19235760887216
plus_entry,零段向上（0→+1）,64,2024-07-29,2024-07-29,1,Validation,-96.98198438603201,-96.98198438603201
plus_entry,零段向上（0→+1）,65,2024-09-24,2024-09-24,1,Validation,484.9738343928078,484.9738343928078
plus_entry,零段向上（0→+1）,66,2024-10-23,2024-10-23,1,Validation,4.265891031549618,4.265891031549618
plus_entry,零段向上（0→+1）,67,2024-11-05,2024-11-05,1,Validation,352.7896652120943,352.7896652120943
plus_entry,零段向上（0→+1）,68,2024-11-22,2024-11-22,1,Validation,-359.39905130699225,-359.39905130699225
plus_entry,零段向上（0→+1）,69,2024-12-10,2024-12-10,1,Validation,-259.22611956934236,-259.22611956934236
