date,three_state,minus_exit_signal,plus_exit_signal,nonzero_final_three_state,close,o2o_h1,phase
2023-04-25,-1,0,0,-1,6118.1526,-0.01780401128113196,Validation
2023-04-26,-1,0,0,-1,6142.1541,0.00533391106199721,Validation
2023-04-27,-1,0,0,-1,6157.936,0.003916496851547047,Validation
2023-04-28,-1,0,0,-1,6241.2441,0.01163637039878429,Validation
2023-05-04,-1,0,0,-1,6262.3891,0.005218884783890321,Validation
2023-05-05,0,0,0,0,6200.5759,-0.008476375578104212,Validation
2023-05-08,0,0,0,0,6248.5828,0.006446053702572119,Validation
2023-05-09,0,0,0,0,6181.9757,-0.012098509586015438,Validation
2023-05-10,0,0,0,0,6173.8093,0.0030052854692030895,Validation
2023-05-11,-1,0,0,-1,6154.4703,-0.007554268264549413,Validation
2023-05-12,-1,0,0,-1,6091.6464,-0.007210462574290588,Validation
2023-05-15,-1,0,0,-1,6159.3888,0.01058194104434551,Validation
2023-05-16,-1,0,0,-1,6110.8271,-0.009935138493432749,Validation
2023-05-17,-1,0,0,-1,6122.0518,0.005664353839570868,Validation
2023-05-18,-1,0,0,-1,6128.1762,-0.002556046225839159,Validation
2023-05-19,-1,1,0,0,6117.0833,-0.0008172025727257726,Validation
2023-05-22,-1,1,0,0,6115.3151,0.0003876080289673123,Validation
2023-05-23,-1,1,0,0,6052.4297,-0.01333360374151138,Validation
2023-05-24,-1,1,0,0,6005.7913,-0.005382392495286936,Validation
2023-05-25,-1,1,0,0,5988.1885,-0.0028468962306325007,Validation
2023-05-26,-1,1,0,0,6034.9834,0.01059751818807686,Validation
2023-05-29,0,0,0,0,6025.1552,-0.00629797875748217,Validation
2023-05-30,0,0,0,0,6061.3089,0.005917970257314442,Validation
2023-05-31,0,0,0,0,6047.8021,-0.0025176620858302634,Validation
2023-06-01,0,0,0,0,6051.4603,0.005491604038426745,Validation
2023-06-02,0,0,0,0,6105.2181,0.0066346239659407225,Validation
2023-06-05,0,0,0,0,6097.1059,-0.0022069344808234304,Validation
2023-06-06,0,0,0,0,5983.4202,-0.017467547265101357,Validation
2023-06-07,0,0,0,0,5987.011,-0.0017691832509140193,Validation
2023-06-08,0,0,0,0,5966.1477,-0.0005064868445793236,Validation
2023-06-09,0,0,0,0,6009.5826,0.005179905085195946,Validation
2023-06-12,0,0,0,0,6027.7122,0.002844898076334035,Validation
2023-06-13,0,0,0,0,6044.0371,0.0049448818641133485,Validation
2023-06-14,0,0,0,0,6044.0766,0.0005012538374871145,Validation
2023-06-15,0,0,0,0,6096.8075,0.0075007253116774475,Validation
2023-06-16,0,0,0,0,6148.0125,0.008861769498699212,Validation
2023-06-19,0,0,0,0,6131.3849,-0.0042463191682456936,Validation
2023-06-20,1,0,0,1,6126.1133,-0.0030211940239613932,Validation
2023-06-21,1,0,0,1,5990.8455,-0.02566685213317399,Validation
2023-06-26,1,0,0,1,5887.0324,-0.008385811348163963,Validation
2023-06-27,1,0,0,1,5948.0029,0.008130261335327127,Validation
2023-06-28,1,0,0,1,5942.3112,-0.002848404359722334,Validation
2023-06-29,0,0,0,0,5940.5782,0.0005334044899150125,Validation
