date,open,high,low,close,volume,amount,prev_close,next_execution_date
2023-10-11,5639.0722,5674.2543,5617.8727,5629.7886,9064482600.0,112202131187.6,5630.3714,2023-10-12
2023-10-12,5655.6129,5677.8191,5642.4931,5671.6419,10050298600.0,119947478383.3,5629.7886,2023-10-13
2023-10-13,5645.4366,5646.0737,5616.8508,5633.3831,8939170200.0,110878380412.7,5671.6419,2023-10-16
2023-10-16,5633.3012,5636.3194,5559.4212,5580.6666,8986755000.0,107684372825.8,5633.3831,2023-10-17
2023-10-17,5585.1448,5599.424,5556.5739,5595.3423,9251673700.0,105060399668.5,5580.6666,2023-10-18
2023-10-18,5586.0206,5586.0206,5519.4562,5524.5988,9895356200.0,110310590720.5,5595.3423,2023-10-19
2023-10-19,5496.7574,5529.8697,5463.6516,5464.027,10807833500.0,117347195293.0,5524.5988,2023-10-20
2023-10-20,5443.4557,5473.2111,5413.0233,5423.6748,9493611500.0,107713531625.7,5464.027,2023-10-23
2023-10-23,5400.5436,5400.7943,5269.8274,5290.3343,10308312600.0,112227737477.3,5423.6748,2023-10-24
2023-10-24,5311.6694,5363.1951,5290.5047,5352.0123,11474572900.0,126190795980.9,5290.3343,2023-10-25
2023-10-25,5386.4255,5423.0139,5375.9983,5375.9983,11492124400.0,129741397087.7,5352.0123,2023-10-26
2023-10-26,5351.1628,5404.9918,5337.4926,5398.934,10248504400.0,116893043685.1,5375.9983,2023-10-27
2023-10-27,5387.2742,5514.3081,5380.9409,5492.0274,11254280400.0,132776259320.2,5398.934,2023-10-30
2023-10-30,5484.624,5559.7847,5483.1591,5546.3881,12303418500.0,153066651404.1,5492.0274,2023-10-31
2023-10-31,5547.3243,5554.1902,5505.9335,5528.2385,10567937500.0,127527068558.9,5546.3881,2023-11-01
2023-11-01,5534.8883,5534.9432,5496.8278,5509.9662,8718578500.0,105639439602.5,5528.2385,2023-11-02
2023-11-02,5514.5172,5532.8505,5457.7453,5459.4517,9020264500.0,101795786004.1,5509.9662,2023-11-03
2023-11-03,5462.144,5537.7293,5462.144,5510.357,9799057600.0,114009935832.3,5459.4517,2023-11-06
2023-11-06,5549.2909,5609.2576,5549.2909,5605.0621,13924104600.0,156664899021.4,5510.357,2023-11-07
2023-11-07,5594.4667,5631.1001,5578.5126,5611.0983,12057932100.0,139898836824.0,5605.0621,2023-11-08
2023-11-08,5602.9707,5633.9706,5577.3911,5608.0173,12299455800.0,139708501031.2,5611.0983,2023-11-09
2023-11-09,5602.49,5638.0805,5582.1194,5592.0568,10636280000.0,123039510738.4,5608.0173,2023-11-10
2023-11-10,5577.3371,5585.2123,5550.8219,5573.0999,9432402400.0,109671917967.6,5592.0568,2023-11-13
2023-11-13,5589.0595,5605.5688,5565.0914,5605.5688,10215893200.0,117833772398.6,5573.0999,2023-11-14
2023-11-14,5602.9829,5639.188,5600.7841,5630.5534,10107313600.0,116072656381.1,5605.5688,2023-11-15
2023-11-15,5677.5503,5684.7473,5649.7168,5664.617,11308793700.0,131864342620.6,5630.5534,2023-11-16
2023-11-16,5647.0613,5652.4004,5609.3607,5609.3607,9466267700.0,105765074960.8,5664.617,2023-11-17
2023-11-17,5598.953,5632.3894,5593.4903,5631.4233,8942234200.0,101443839223.4,5609.3607,2023-11-20
2023-11-20,5635.5867,5669.3846,5609.2691,5659.7727,10310507200.0,119885024783.4,5631.4233,2023-11-21
2023-11-21,5669.1651,5696.0944,5634.2723,5641.0844,11486120500.0,126740611037.5,5659.7727,2023-11-22
2023-11-22,5622.8615,5639.0036,5572.8986,5572.8986,10471840800.0,109971792008.8,5641.0844,2023-11-23
2023-11-23,5566.7332,5627.7947,5548.972,5622.9891,9804243200.0,101151204629.6,5572.8986,2023-11-24
2023-11-24,5619.3187,5619.3187,5556.7138,5570.4205,10124804400.0,100701104772.1,5622.9891,2023-11-27
2023-11-27,5562.7486,5579.7151,5531.6548,5566.5069,9821865300.0,107690772117.8,5570.4205,2023-11-28
2023-11-28,5561.5765,5594.718,5529.5352,5591.4955,8937327200.0,98930980618.3,5566.5069,2023-11-29
2023-11-29,5588.7739,5593.3712,5547.8408,5553.3349,8950915100.0,96924084400.2,5591.4955,2023-11-30
2023-11-30,5548.524,5560.3283,5509.9646,5545.0504,8784150500.0,95350481599.1,5553.3349,2023-12-01
2023-12-01,5541.226,5576.7275,5521.0558,5566.8689,9337170800.0,107454844321.7,5545.0504,2023-12-04
2023-12-04,5578.4205,5590.8353,5559.0682,5559.0682,9930654300.0,119628388288.4,5566.8689,2023-12-05
